County,DistrictCode,DistrictName,SchoolCode,SchoolName,CurrentSchoolType,Student Group,GradeLevel,DisciplineDenominator,DisciplineNumerator,DisciplineRate
Okanogan,"24,410",Oroville School District,"2,706",Oroville Middle-High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<9%
Pierce,"27,344",Orting School District,"2,942",Orting High School,P,All Students,12th Grade,236,19,8.10%
Adams,"1,147",Othello School District,"3,015",Othello High School,P,All Students,12th Grade,250,8,3.20%
King,"17,403",Renton School District,"1,648",Out Of District Facility,S,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Snohomish,"31,103",Monroe School District,"1,643",Out Of District Special Ed,S,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Skamania,"30,031",Mill A School District,"5,480",Pacific Crest Innovation Academy,P,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Stevens,"33,070",Valley School District,"5,223",Paideia High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Kitsap,"18,400",North Kitsap School District,"1,733",Pal Program,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<7%
Whitman,"38,301",Palouse School District,"2,634",Palouse High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,20.00%
Franklin,"11,051",North Franklin School District,"1,754",Palouse Junction High School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Stevens,"33,115",Colville School District,"1,594",Panorama School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
King,"17,407",Riverview School District,"1,854",PARADE,A,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Snohomish,"31,201",Snohomish School District,"1,904",Parent Partnership,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Kittitas,"19,403",Kittitas School District,"3,213",Parke Creek Treatment Ctr,I,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Franklin,"11,001",Pasco School District,"2,917",Pasco Senior High School,P,All Students,12th Grade,598,17,2.80%
Okanogan,"24,122",Pateros School District,"2,397",Pateros High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Lewis,"21,301",Pe Ell School District,"2,858",Pe Ell School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Pierce,"27,010",Tacoma School District,"4,283",Pearl Street Center,S,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Pend Oreille,"26,056",Newport School District,"5,118",Pend Oreille River School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<9%
Pierce,"27,401",Peninsula School District,"2,681",Peninsula High School,P,All Students,12th Grade,357,7,2.00%
Benton,"3,017",Kennewick School District,"5,106",Phoenix High School,A,All Students,12th Grade,27,7,25.90%
Jefferson,"16,049",Chimacum School District,"1,724",PI Program,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Pierce,"27,403",Bethel School District,"5,961",Pierce County Skills Center,V,All Students,12th Grade,Count Suppressed,Count Suppressed,<2%
Garfield,"12,110",Pomeroy School District,"2,241",Pomeroy Jr Sr High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<9%
Clallam,"5,121",Port Angeles School District,"2,908",Port Angeles High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<1%
Snohomish,"31,002",Everett School District,"1,907",Port Gardner,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Jefferson,"16,050",Port Townsend School District,"2,503",Port Townsend High School,P,All Students,12th Grade,90,4,4.40%
Clark,"6,119",Battle Ground School District,"4,104",Prairie High School,P,All Students,12th Grade,400,14,3.50%
Spokane,"32,081",Spokane School District,"1,567",Pratt Academy,A,All Students,12th Grade,21,5,23.80%
Walla Walla,"36,402",Prescott School District,"3,575",Prescott Jr Sr High,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
King,"17,001",Seattle School District #1,"5,046",Private School Services,S,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Benton,"3,116",Prosser School District,"2,508",Prosser High School,P,All Students,12th Grade,273,4,1.50%
Benton,"3,116",Prosser School District,"5,537",PSD U Grad Academy,R,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
King,"17,401",Highline School District,"5,172",Puget Sound High School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<7%
Whitman,"38,267",Pullman School District,"2,499",Pullman High School,P,All Students,12th Grade,212,3,1.40%
Pierce,"27,003",Puyallup School District,"2,125",Puyallup High School,P,All Students,12th Grade,638,28,4.40%
Pierce,"27,003",Puyallup School District,"1,640",Puyallup Online Academy/POA,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<3%
Pierce,"27,003",Puyallup School District,"5,321",Puyallup Open Doors/POD,R,All Students,12th Grade,Count Suppressed,Count Suppressed,<2%
Stevens,"33,036",Chewelah School District,"1,763",Quartzite Learning,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Jefferson,"16,048",Quilcene School District,"2,474",Quilcene High And Elementary,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Clallam,"5,903",Quileute Tribal School District,"5,430",Quileute Tribal School,Q,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Grant,"13,144",Quincy School District,"3,088",Quincy High School,P,All Students,12th Grade,191,5,2.60%
Grant,"13,144",Quincy School District,"1,506",Quincy Innovation Academy,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Cowlitz,"8,122",Longview School District,"2,416",R A Long High School,P,All Students,12th Grade,223,3,1.30%
King,"17,001",Seattle School District #1,"3,327",Rainier Beach High School,P,All Students,12th Grade,244,14,5.70%
Thurston,"34,307",Rainier School District,"2,468",Rainier Senior High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<5%
King,"17,401",Highline School District,"3,553",Raisbeck Aviation High School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<3%
Pacific,"25,116",Raymond School District,"2,357",Raymond Jr Sr High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<7%
Lincoln,"22,009",Reardan-Edwall School District,"2,478",Reardan Middle-Senior High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<9%
King,"17,414",Lake Washington School District,"3,528",Redmond High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<1%
Spokane,"32,363",West Valley School District (Spokane),"5,356",re-engagement,R,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Spokane,"32,325",Nine Mile Falls School District,"5,417",Re-Engagement School (Nine Mile Falls),R,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Pierce,"27,400",Clover Park School District,"1,880",Re-Entry High School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
King,"17,415",Kent School District,"1,807",Regional Justice Center,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Pierce,"27,010",Tacoma School District,"2,039",Remann Hall Juvenile Detention Center,J,All Students,12th Grade,Count Suppressed,Count Suppressed,<6%
Kitsap,"18,100",Bremerton School District,"1,737",Renaissance Alternative High School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<5%
King,"17,403",Renton School District,"5,070",Renton Academy,A,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
King,"17,403",Renton School District,"2,475",Renton Senior High School,P,All Students,12th Grade,337,9,2.70%
King,"17,406",Tukwila School District,"5,315",Renton Technical College,R,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Ferry,"10,309",Republic School District,"1,898",Republic Parent Partner,A,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Ferry,"10,309",Republic School District,"3,579",Republic Senior High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Benton,"3,400",Richland School District,"3,511",Richland High School,P,All Students,12th Grade,490,6,1.20%
Clark,"6,122",Ridgefield School District,"2,390",Ridgefield High School,P,All Students,12th Grade,227,8,3.50%
Yakima,"39,007",Yakima School District,"5,264",Ridgeview Group Home,I,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Grant,"13,156",Soap Lake School District,"1,518",RISE Academy,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Adams,"1,160",Ritzville School District,"2,132",Ritzville High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<9%
Thurston,"34,003",North Thurston Public Schools,"4,427",River Ridge High School,P,All Students,12th Grade,354,4,1.10%
Benton,"3,053",Finley School District,"2,367",River View High School,P,All Students,12th Grade,89,6,6.70%
Spokane,"32,354",Mead School District,"5,268",Riverpoint Academy (Closed after 2018-2019 school year),P,All Students,12th Grade,Count Suppressed,Count Suppressed,<8%
Benton,"3,400",Richland School District,"4,295",Rivers Edge High School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<2%
Spokane,"32,416",Riverside School District,"4,228",Riverside High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<3%
Thurston,"34,401",Rochester School District,"4,326",Rochester High School,P,All Students,12th Grade,184,9,4.90%
Spokane,"32,081",Spokane School District,"2,479",Rogers High School,P,All Students,12th Grade,365,31,8.50%
King,"17,001",Seattle School District #1,"2,285",Roosevelt High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<1%
Whitman,"38,320",Rosalia School District,"3,204",Rosalia Elementary & Secondary School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Grant,"13,160",Royal School District,"3,516",Royal High School,P,All Students,12th Grade,136,5,3.70%
Grant,"13,165",Ephrata School District,"5,497",Sage Hills Open Doors Youth Re-Engagement Program,R,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
King,"17,405",Bellevue School District,"3,282",Sammamish Senior High,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<1%
Spokane,"32,081",Spokane School District,"1,698",SCCP Images,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<4%
Spokane,"32,356",Central Valley School District,"5,003",School to Life,S,All Students,12th Grade,41,5,12.20%
Pierce,"27,010",Tacoma School District,"5,169",Science and Math Institute,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<3%
Snohomish,"31,015",Edmonds School District,"3,854",Scriber Lake High School,A,All Students,12th Grade,126,7,5.60%
Walla Walla,"36,140",Walla Walla Public Schools,"5,337",SE AREA TECHNICAL SKILLS CENTER,V,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
King,"17,001",Seattle School District #1,"1,596",Seattle World School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<4%
King,"17,417",Northshore School District,"3,811",Secondary Academy for Success,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<5%
Thurston,"34,033",Tumwater School District,"1,713",Secondary Options,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<3%
Skagit,"29,101",Sedro-Woolley School District,"2,150",Sedro Woolley Senior High School,P,All Students,12th Grade,332,10,3.00%
Whatcom,"37,501",Bellingham School District,"3,576",Sehome High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<1%
Yakima,"39,119",Selah School District,"4,272",Selah Academy Online,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<3%
Yakima,"39,119",Selah School District,"2,388",Selah High School,P,All Students,12th Grade,291,15,5.20%
Pend Oreille,"26,070",Selkirk School District,"5,226",Selkirk High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Grant,"13,073",Wahluke School District,"1,835",Sentinel Tech Alt School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Clallam,"5,323",Sequim School District,"2,471",Sequim Senior High,P,All Students,12th Grade,233,3,1.30%
Snohomish,"31,002",Everett School District,"4,137",Sequoia High School,A,All Students,12th Grade,115,6,5.20%
Spokane,"32,081",Spokane School District,"3,189",Shadle Park High School,P,All Students,12th Grade,307,10,3.30%
Mason,"23,309",Shelton School District,"3,241",Shelton High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<1%
Mason,"23,309",Shelton School District,"5,548",Shelton Open Doors,R,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
King,"17,412",Shoreline School District,"3,343",Shorecrest High School,P,All Students,12th Grade,362,16,4.40%
Snohomish,"31,103",Monroe School District,"5,154",Shoreline-Monroe High School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<1%
King,"17,412",Shoreline School District,"3,921",Shorewood High School,P,All Students,12th Grade,444,21,4.70%
Yakima,"39,201",Sunnyside School District,"5,352",SHS Graduation Alliance,R,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Skagit,"29,320",Mount Vernon School District,"1,992",Skagit Academy,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Skagit,"29,801",ESD 189 acting as a school district,"3,363",Skagit County Detention Center,J,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Grant,"13,161",Moses Lake School District,"5,323",Skill Source Reingagement Program,R,All Students,12th Grade,Count Suppressed,Count Suppressed,<2%
Snohomish,"31,103",Monroe School District,"1,777",Sky Valley Education Center,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<4%
Snohomish,"31,311",Sultan School District,"5,114",Sky Valley Options,A,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
King,"17,404",Skykomish School District,"2,513",Skykomish High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
King,"17,411",Issaquah School District,"4,495",Skyline High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<1%
Clark,"6,037",Vancouver School District,"4,504",Skyview High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,3.60%
Snohomish,"31,201",Snohomish School District,"2,428",Snohomish High School,P,All Students,12th Grade,443,10,2.30%
King,"17,410",Snoqualmie Valley School District,"5,181",Snoqualmie Access,S,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
King,"17,410",Snoqualmie Valley School District,"5,374",SNOQUALMIE VALLEY SCHOOL DISTRICT OPEN DOORS,R,All Students,12th Grade,Count Suppressed,Count Suppressed,<8%
Grant,"13,156",Soap Lake School District,"3,089",Soap Lake Middle & High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<8%
Pacific,"25,118",South Bend School District,"2,214",South Bend High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<6%
Kitsap,"18,402",South Kitsap School District,"2,272",South Kitsap High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,1.30%
King,"17,001",Seattle School District #1,"3,778",South Lake High School,A,All Students,12th Grade,47,4,8.50%
Thurston,"34,003",North Thurston Public Schools,"4,314",South Sound High School,A,All Students,12th Grade,158,19,12.00%
Island,"15,206",South Whidbey School District,"1,682",South Whidbey Academy,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Island,"15,206",South Whidbey School District,"4,149",South Whidbey High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<3%
Benton,"3,017",Kennewick School District,"4,484",Southridge High School,P,All Students,12th Grade,452,29,6.40%
Pierce,"27,403",Bethel School District,"4,158",Spanaway Lake High School,P,All Students,12th Grade,347,12,3.50%
King,"17,408",Auburn School District,"1,915",Special Ed School,S,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
King,"17,216",Enumclaw School District,"1,523",Special Ed School,S,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Pierce,"27,400",Clover Park School District,"1,882",Special Education Services/relife,S,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Kitsap,"18,400",North Kitsap School District,"1,677",Special Programs,S,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Benton,"3,400",Richland School District,"2,001",Special Programs,S,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Asotin,"2,250",Clarkston School District,"3,616",Special Services,S,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Snohomish,"31,002",Everett School District,"3,903",Special Services,S,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Snohomish,"31,006",Mukilteo School District,"1,848",Special Services,S,All Students,12th Grade,Count Suppressed,Count Suppressed,<7%
Pierce,"27,010",Tacoma School District,"5,192",Special Services,A,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Spokane,"32,801",ESD 101 acting as a school district,"3,526",Spokane Juvenile Detention School,J,All Students,12th Grade,Count Suppressed,Count Suppressed,<8%
Spokane,"32,363",West Valley School District (Spokane),"1,838",Spokane Valley High School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Spokane,"32,356",Central Valley School District,"5,278",Spokane Valley Tech Skills Center,V,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Spokane,"32,363",West Valley School District (Spokane),"1,842",Spokane Valley Transition School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<3%
Lincoln,"22,008",Sprague School District,"2,186",Sprague High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Whatcom,"37,501",Bellingham School District,"4,515",Squalicum High School,P,All Students,12th Grade,323,7,2.20%
Whitman,"38,322",St. John School District,"3,068",St John/Endicott High,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Pierce,"27,010",Tacoma School District,"2,084",Stadium,P,All Students,12th Grade,375,19,5.10%
Yakima,"39,007",Yakima School District,"4,093",Stanton Academy,A,All Students,12th Grade,151,13,8.60%
Snohomish,"31,401",Stanwood-Camano School District,"2,581",Stanwood High School,P,All Students,12th Grade,342,11,3.20%
Skagit,"29,101",Sedro-Woolley School District,"1,537",State Street High School,A,All Students,12th Grade,246,9,3.70%
Pierce,"27,001",Steilacoom Hist. School District,"4,131",Steilacoom High,P,All Students,12th Grade,226,12,5.30%
Pierce,"27,001",Steilacoom Hist. School District,"5,527",Steilacoom PRIDE Academy,R,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Spokane,"32,356",Central Valley School District,"5,542",Stem Academy at SVT,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Yakima,"39,200",Grandview School District,"5,399",Step to College Open Doors High School,R,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Skamania,"30,303",Stevenson-Carson School District,"3,119",Stevenson High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<4%
Spokane,"32,801",ESD 101 acting as a school district,"3,507",Structural Alt Confinement School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
King,"17,402",Vashon Island School District,"1,938",Student Link,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Snohomish,"31,311",Sultan School District,"4,274",Sultan Senior High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<2%
Pierce,"27,905",Summit Public School: Olympus,"5,376",Summit Public School: Olympus,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<4%
King,"17,902",Summit Public School: Sierra,"5,375",Summit Public School: Sierra,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<3%
Clark,"6,119",Battle Ground School District,"4,450",Summit View High School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<1%
Pierce,"27,320",Sumner School District,"3,247",Sumner High School,P,All Students,12th Grade,496,16,3.20%
Yakima,"39,201",Sunnyside School District,"2,959",Sunnyside High School,P,All Students,12th Grade,536,48,9.00%
King,"17,210",Federal Way School District,"1,951",Support School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Kittitas,"19,404",Cle Elum-Roslyn School District,"1,987",Swiftwater Alternative High School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Pierce,"27,010",Tacoma School District,"1,860",Tacoma School of the Arts,P,All Students,12th Grade,135,6,4.40%
Grays Harbor,"14,077",Taholah School District,"3,580",Taholah High School,P,All Students,12th Grade,22,3,13.60%
King,"17,409",Tahoma School District,"2,849",Tahoma Senior High School,P,All Students,12th Grade,661,13,2.00%
King,"17,403",Renton School District,"5,282",Talley High School,A,All Students,12th Grade,240,15,6.30%
King,"17,210",Federal Way School District,"5,473",Technology Access Foundation Academy at Saghalie,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Whitman,"38,265",Tekoa School District,"3,418",Tekoa High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Thurston,"34,402",Tenino School District,"3,509",Tenino High School,P,All Students,12th Grade,100,6,6.00%
King,"17,001",Seattle School District #1,"1,856",The Center School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<5%
Spokane,"32,081",Spokane School District,"5,301",The Community School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<8%
Spokane,"32,081",Spokane School District,"1,767",The Healing Lodge,I,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
King,"17,415",Kent School District,"5,440",The Outreach Program,S,All Students,12th Grade,Count Suppressed,Count Suppressed,<3%
King,"17,210",Federal Way School District,"3,584",Thomas Jefferson High School,P,All Students,12th Grade,470,15,3.20%
Kittitas,"19,400",Thorp School District,"2,514",Thorp Elem & Jr Sr High,P,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Benton,"3,400",Richland School District,"5,165",Three Rivers Home Link,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Spokane,"32,360",Cheney School District,"1,769",Three Springs High School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Thurston,"34,033",Tumwater School District,"3,925",Thurs Co Juv Det/Tumwater West E,J,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Thurston,"34,003",North Thurston Public Schools,"3,710",Timberline High School,P,All Students,12th Grade,396,14,3.50%
King,"17,210",Federal Way School District,"4,570",Todd Beamer High School,P,All Students,12th Grade,398,24,6.00%
Lewis,"21,237",Toledo School District,"2,616",Toledo High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<4%
Okanogan,"24,404",Tonasket School District,"2,679",Tonasket High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<4%
Yakima,"39,202",Toppenish School District,"2,900",Toppenish High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,3.50%
Walla Walla,"36,300",Touchet School District,"2,160",Touchet Elem & High School,P,All Students,12th Grade,12,2,16.70%
Thurston,"34,111",Olympia School District,"5,259",Touchstone,I,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Cowlitz,"8,130",Toutle Lake School District,"2,560",Toutle Lake High School,P,All Students,12th Grade,45,4,8.90%
Pierce,"27,400",Clover Park School District,"5,297",Transition Day Students,P,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Benton,"3,017",Kennewick School District,"4,118",Tri-Tech Skills Center,V,All Students,12th Grade,Count Suppressed,Count Suppressed,<1%
Klickitat,"20,400",Trout Lake School District,"2,676",Trout Lake School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
King,"17,406",Tukwila School District,"5,536",Tukwila Online Learning,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Thurston,"34,033",Tumwater School District,"3,362",Tumwater High School,P,All Students,12th Grade,322,7,2.20%
Skagit,"29,011",Concrete School District,"1,605",Twin Cedars High School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Grays Harbor,"14,005",Aberdeen School District,"5,208","Twin Harbors, A Branch of New Market Skills Center",V,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
King,"17,410",Snoqualmie Valley School District,"1,502",Two Rivers School,A,All Students,12th Grade,Count Suppressed,Count Suppressed,<7%
King,"17,401",Highline School District,"3,483",Tyee High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<1%
Clark,"6,114",Evergreen School District (Clark),"5,111",Union High School,P,All Students,12th Grade,516,11,2.10%
Spokane,"32,356",Central Valley School District,"3,415",University High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,6.80%
Clark,"6,037",Vancouver School District,"5,271",Vancouver iTech Preparatory,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<8%
Clark,"6,037",Vancouver School District,"1,689",Vancouver School of Arts and Academics,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<4%
Clark,"6,037",Vancouver School District,"5,149",Vancouver Virtual Learning Academy,A,All Students,12th Grade,249,13,5.20%
King,"17,402",Vashon Island School District,"2,419",Vashon Island High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<2%
Whatcom,"37,501",Bellingham School District,"1,799",Visions (Seamar Youth Center),A,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Lewis,"21,302",Chehalis School District,"2,799",W F West High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<1%
Wahkiakum,"35,200",Wahkiakum School District,"3,467",Wahkiakum High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<8%
Grant,"13,073",Wahluke School District,"4,254",Wahluke High School,P,All Students,12th Grade,148,10,6.80%
Walla Walla,"36,401",Waitsburg School District,"2,386",Waitsburg High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Walla Walla,"36,140",Walla Walla Public Schools,"3,468",Walla Walla High School,P,All Students,12th Grade,431,9,2.10%
Walla Walla,"36,140",Walla Walla Public Schools,"5,460",Walla Walla Open Doors,R,All Students,12th Grade,Count Suppressed,Count Suppressed,<2%
Yakima,"39,207",Wapato School District,"3,141",Wapato High School,P,All Students,12th Grade,187,7,3.70%
Grant,"13,146",Warden School District,"3,273",Warden High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<4%
Mason,"23,311",Mary M Knight School District,"5,445",Washington Connections Academy,P,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Pierce,"27,402",Franklin Pierce School District,"3,648",Washington High School,P,All Students,12th Grade,252,12,4.80%
King,"17,414",Lake Washington School District,"5,958",Washington Network for Innovative Careers � A Washington State Skills Center,V,All Students,12th Grade,Count Suppressed,Count Suppressed,<1%
Thurston,"34,974",Office of the Governor (Sch for Blind),"3,799",Washington State School for the Blind,I,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Thurston,"34,975",Washington Center for Deaf and Hard of Hearing Youth,"4,246",Washington State School for the Deaf,I,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Okanogan,"24,019",Omak School District,"5,197",Washington Virtual Academy Omak High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<1%
Thurston,"34,979",Washington Military Department,"5,302",Washington Youth Academy,I,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Clark,"6,112",Washougal School District,"3,147",Washougal High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<1%
Adams,"1,109",Washtucna School District,"3,075",Washtucna Elementary/High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Douglas,"9,209",Waterville School District,"2,162",Waterville High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Stevens,"33,049",Wellpinit School District #49,"5,461",Wellpinit Fort Simcoe SEA,R,All Students,12th Grade,Count Suppressed,Count Suppressed,<3%
Stevens,"33,049",Wellpinit School District #49,"2,550",Wellpinit High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<10%
Chelan,"4,246",Wenatchee School District,"2,134",Wenatchee High School,P,All Students,12th Grade,544,13,2.40%
Chelan,"4,246",Wenatchee School District,"4,105",Wenatchee Valley Technical Skills Center,V,All Students,12th Grade,Count Suppressed,Count Suppressed,<5%
King,"17,408",Auburn School District,"2,702",West Auburn Senior High School,A,All Students,12th Grade,134,10,7.50%
King,"17,001",Seattle School District #1,"2,234",West Seattle High School,P,All Students,12th Grade,Count Suppressed,Count Suppressed,<1%
Kitsap,"18,100",Bremerton School District,"4,038",West Sound Technical Skills Center,V,All Students,12th Grade,Count Suppressed,Count Suppressed,Suppressed: N<10
Spokane,"32,363",West Valley School District (Spokane),"3,195",West Valley High School,P,All Students,12th Grade,211,3,1.40%
